Name,City,State,Country,Latitude,Longitude,Color
Roberto Arguelles,Kearns,UT,USA,40.65183073,-112.004,#874712
Harvey Miguel Robinson,Allentown,PA,USA,40.610306,-75.477104,#874713
William Sapp,Springfield,OH,USA,39.92423,-83.80882,#874714
John Eric Armstrong,New Bern,NC,USA,35.108494,-77.044113,#874715
Derrick Todd Lee,St. Francisville,LA,USA,30.788073,-91.376846,#874716
Neal Falls,Eugene,OR,USA,44.05207,-123.08675,#874717
John Bittrolff,Long Island,NY, USA,40.786881,-73.121702,#874718
Desmond Domnique Jennings,Tarrant County,TX,USA,32.77,-97.29,#874719
James Swann,Iselin,NJ,USA,40.574603,-74.316799,#874720
Ervin Cherry,St. Johns County,FL,USA,29.924299,-81.417929,#874721
Orville Lynn Majors,Linton,IN,USA,46.266659,-100.232895,#874722
Glen Edward Rogers,Hamilton,OH,USA,39.3995,-84.56134,#874723
Andre Crawford,Chicago,IL,USA,41.881832,-87.623177,#874724
Michael Gargiulo,Glenview,IL,USA,42.082127,-87.837479,#874725
Gary Ray Bowles,Clifton Forge,VA,USA,37.81849673,-79.82066338,#874726
Leon Dorsey,Dallas,TX,USA,32.779167,-96.808891,#874727
Dana Sue Gray,Southern CA,CA,USA,33.860032,-118.378498,#874728
Rory Enrique Conde,Barranquilla,Atlantico,Colombia,10.977575,-74.802912,#874729
Hubert Geralds,Chicago,IL,USA,41.881832,-87.623177,#874730
Jack Owen Spillman,Spokane,WA,USA,47.67323,-117.23937,#874731
Anthony Balaam,Trenton,NJ,USA,40.217052,-74.742935,#874732
Eric Matthews,INpolis,IN,USA,39.80283012,-86.12099952,#874733
Ramon Torres Hernandez,Bexar County,TX,USA,29.45,-98.52,#874734
Michelle Knotek,Raymond,WA,USA,46.6744973,-123.7361637,#874735
Sean Vincent Gillis,Baton Rouge,LA,USA,30.471165,-91.147385,#874736
Eugene Britt,Gary,IN,USA,41.595161,-87.356934,#874737
Francisco del Junco,,,Cuba,21.879308,-78.881556,#874738
Paul Runge,Oak Forest,IL,USA,41.60449758,-87.75033033,#874739
Alfred Gaynor,Springfield,MA,USA,42.101391,-72.590279,#874740
Tony Ray Amati,Carbondale,IL,USA,37.701206,-89.22821,#874741
Richard Evonitz,Columbia,SC,USA,34.00033333,-81.03983317,#874742
Kendall Francois,Poughkeepsie,NY,USA,41.70829,-73.923912,#874743
Sante Kimes,Oklahoma City,OK,USA,35.481918,-97.508469,#874744
Joseph Edward Duncan,Tacoma,WA,USA,47.258728,-122.465973,#874745
Frederick Pete Cox,Tallahassee,FL,USA,30.455,-84.253334,#874746
Andrew Cunanan,National City,CA,USA,32.66916399,-117.0889996,#874747
Charles Lee Duffy,Norcross,GA,USA,33.941212,-84.213531,#874748
Paul Dennis Reid,Richland Hills,TX,USA,32.834293,-97.228905,#874749
Wayne Adam Ford,Petaluma,CA,USA,38.244923,-122.626991,#874750
DeWayne Lee Harris,Seattle,WA,USA,47.608013,-122.335167,#874751
Paul Durousseau,Beaumont,TX,USA,30.080173,-94.126556,#874752
Ronald Dominique,Thibodaux,LA,USA,29.78866351,-90.81866339,#874753
Scott Williams,Monroe,NC,USA,34.98666272,-80.54316449,#874754
Robert Rembert,Cleveland,OH,USA,41.4926647,-81.68716392,#874755
Kenneth Williams,Pine Bluff,AR,USA,34.2284,-92.0032,#874756
Juan Covington,Philadelphia,PA,USA,39.998089,-75.134109,#874757
Dallen Bounds,Easley,SC,USA,34.82984,-82.60152,#874758
Todd Alan Reed,Portland,OR,USA,45.523064,-122.676483,#874759
Cary Stayner,Merced,CA,USA,37.325954,-120.499992,#874760
Vincent Johnson,New York City,NY,USA,40.650002,-73.949997,#874761
Reinaldo Rivera,Santurce,San Juan,Puerto Rico,18.445815,-66.06581,#874762
John Eichinger,Malvern,PA,USA,40.036217,-75.513809,#874763
"(Black Widow Murders) Rutterschmidt, Olga",Los Angeles,CA,USA,34.126189,-118.444348,#874764
(Black Widow Murders) Helen Golay,Los Angeles,CA,USA,34.126189,-118.444348,#874765
Rodney Bixler,Lawrenceburg,KY,USA,39.090893,-84.849953,#874766
Ronald James Ward,Hood River,OR,USA,45.7054,-121.52146,#874767
James Childers,Copen,WV,USA,38.8375952,-80.7295431,#874768
Roberto Wagner Fernandes,Londrina,Paraná,Brazil,-23.306761,-51.173661,#874769
Terry Hankins,Tarrant County,TX,USA,32.77,-97.29,#874770
Vickie Dawn Jackson,Montague County,TX,USA,33.6588307,-97.71899712,#874771
Matthew Steven Johnson,Hartford,CT,USA,41.767,-72.677,#874772
Maury Travis,St. Louis,MO,USA,38.627003,-90.199402,#874773
Kevin Taylor,Chicago,IL,USA,41.881832,-87.623177,#874774
Jurijus Kadamovas,,Lithuania,Soviet Union,55.564533,23.694453,#874775
Iouri Mikhel,Leningrad,SFSR,Soviet Union,59.939239,30.311367,#874776
Shelly Brooks,Detroit,MI,USA,42.331429,-83.045753,#874777
Quincy Allen,Columbia,SC,USA,34.00033333,-81.03983317,#874778
Lee Boyd Malvo,Kingston,,Jamaica,18.014417,-76.799022,#874779
John Allen Muhammad,Baton Rouge,LA,USA,30.471165,-91.147385,#874780
Cory Morris,Oklahoma City,OK,USA,35.481918,-97.508469,#874781
William Clyde Gibson,Raleigh,NC,USA,35.884766,-78.625053,#874782
William Devin Howell,Hampton,VA,USA,37.02987,-76.34522,#874783
Cimarron Bell,South Whittier,CA,USA,33.982506,-118.040962,#874784
Larry Bright,Peoria County,IL,USA,40.69365,-89.58899,#874785
Scott Lee Kimball,Boulder,CO,USA,40.01499,-105.27055,#874786
Charles Severance,Fairfax County,VA,USA,38.83,-77.28,#874787
Todd Kohlhepp,Fort Lauderdale,FL,USA,26.122438,-80.137314,#874788
Eugene McWatters,Port Salerno,FL,USA,27.14422,-80.2006,#874789
Sheila LaBarre,Fort Payne,AL,USA,34.444256,-85.719582,#874790
Samuel Dieteman,Phoenix,AZ,USA,33.559336,-112.092123,#874791
Mark Goudeau,Phoenix,AZ,USA,33.448376,-112.074036,#874792
Ricky Javon Gray,Richmond,VA,USA,37.55376,-77.46026,#874793
Robert Hayes,West Palm Beach,FL,USA,26.709723,-80.064163,#874794
 Preston Strong,Camden,NJ,USA,39.936961,-75.11205,#874795
Jorge Avila-Torrez,Zion,IL,USA,42.45199819,-87.83749665,#874796
Rocky Beamon,Raiford,FL,USA,30.061619,-82.240724,#874797
Dale Hausner,Phoenix,AZ,USA,33.559336,-112.092123,#874798
Samuel Cooper,Baltimore,NC,USA,35.56646,-82.542686,#874799
Shawn Grate,Marion,OH,USA,40.58867,-83.12852,#874800
Adam Leroy Lane,Jonesville,NC,USA,36.239301,-80.844515,#874801
Joe Brant,New Orleans,LA,USA,30.05432,-89.949863,#874802
Gary Hilton,Atlanta,GA,USA,33.753746,-84.38633,#874803
Anthony Sowell,Columbus,OH,USA,40.019161,-82.982596,#874804
Robert Charles Gleason,Lowell,MA,USA,42.640999,-71.316711,#874805
Kimberly Clark Saenz,Fall River,MA,USA,41.696629,-71.149994,#874806
Jesse Matthew,Charlottesville,VA,USA,38.049347,-78.487978,#874807
Antonio Rodriguez,Philadelphia,PA,USA,39.998089,-75.134109,#874808
Itzcoatl Ocampo,Mexico City,Mexico City,Mexico,19.432523,-99.131613,#874809
Michael Madison,East Cleveland,OH,USA,41.53311,-81.57901,#874810
Darren Deon Vann,Gary,IN,USA,41.588555,-87.336812,#874811
Aeman Presley,Chicago,IL,USA,41.881832,-87.623177,#874812
James Dale Ritchie,Anchorage,AK,USA,61.217381,-149.863129,#874813
Khalil Wheeler-Weaver,Orange,NJ,USA,40.766682,-74.235248,#874814
Reta Mays,Reynoldsville,WV,USA,39.281567,-80.344215,#874815
Kenyel Brown,River Rouge,MI,USA,42.27066558,-83.13399946,#874816
